sentence_i,sentence_j,classical,quantum,absolute_difference
0,0,1.00000000,1.00000000,0.00000000
0,1,0.09243512,0.09243512,0.00000000
0,2,0.07749428,0.07749428,0.00000000
0,3,0.00000000,0.00000000,0.00000000
0,4,0.05423494,0.05423494,0.00000000
0,5,0.06770153,0.06770153,0.00000000
0,6,0.07691042,0.07691042,0.00000000
1,0,0.09243512,0.09243512,0.00000000
1,1,1.00000000,1.00000000,0.00000000
1,2,0.35467292,0.35467292,0.00000000
1,3,0.00000000,0.00000000,0.00000000
1,4,0.08274014,0.08274014,0.00000000
1,5,0.10328461,0.10328461,0.00000000
1,6,0.11733358,0.11733358,0.00000000
2,0,0.07749428,0.07749428,0.00000000
2,1,0.35467292,0.35467292,0.00000000
2,2,1.00000000,1.00000000,0.00000000
2,3,0.05112024,0.05112024,0.00000000
2,4,0.06820261,0.06820261,0.00000000
2,5,0.06417528,0.06417528,0.00000000
2,6,0.09671795,0.09671795,0.00000000
3,0,0.00000000,0.00000000,0.00000000
3,1,0.00000000,0.00000000,0.00000000
3,2,0.05112024,0.05112024,0.00000000
3,3,1.00000000,1.00000000,0.00000000
3,4,0.21868419,0.21868419,0.00000000
3,5,0.06112606,0.06112606,0.00000000
3,6,0.09212250,0.09212250,0.00000000
4,0,0.05423494,0.05423494,0.00000000
4,1,0.08274014,0.08274014,0.00000000
4,2,0.06820261,0.06820261,0.00000000
4,3,0.21868419,0.21868419,0.00000000
4,4,1.00000000,1.00000000,0.00000000
4,5,0.08155198,0.08155198,0.00000000
4,6,0.28308070,0.28308070,0.00000000
5,0,0.06770153,0.06770153,0.00000000
5,1,0.10328461,0.10328461,0.00000000
5,2,0.06417528,0.06417528,0.00000000
5,3,0.06112606,0.06112606,0.00000000
5,4,0.08155198,0.08155198,0.00000000
5,5,1.00000000,1.00000000,0.00000000
5,6,0.11564864,0.11564864,0.00000000
6,0,0.07691042,0.07691042,0.00000000
6,1,0.11733358,0.11733358,0.00000000
6,2,0.09671795,0.09671795,0.00000000
6,3,0.09212250,0.09212250,0.00000000
6,4,0.28308070,0.28308070,0.00000000
6,5,0.11564864,0.11564864,0.00000000
6,6,1.00000000,1.00000000,0.00000000
